Timestamp,Faculty Last Name,Semester,COMP Course Number,COMP Section Number,Syllabus,Final Version,Cross-Listed
1/9/2019 9:22:04,Thiruvathukal,Spring 2019,330,,https://drive.google.com/open?id=1rHUEEeWK99ey-RcvUq3QZPlP0p4ijjh8,No,
1/9/2019 9:22:31,Thiruvathukal,Spring 2019,339,,https://drive.google.com/open?id=18IB9uf5YVeYSjZ9ecUhPkkqd-4Ojcckf,No,
1/9/2019 9:41:50,Yarrish,Spring 2019,340,,https://drive.google.com/open?id=1-gqcVZgSDouLaWuy1Xzynjzxv-EkXEzj,Yes,
1/9/2019 9:42:25,Yarrish,Spring 2019,488,,https://drive.google.com/open?id=1CSg8LuqtBQK0cWB4-EkHnyZNTfcxvwpb,Yes,
1/9/2019 10:22:49,Yacobellis,Spring 2019,313,,https://drive.google.com/open?id=1ApvA2827DtQyr4hCihGaNKsmf6pyx68w,Yes,
1/9/2019 10:23:32,Yacobellis,Spring 2019,413,,https://drive.google.com/open?id=1L3H4o8ixcHEH94q_XF684kbsUlgf-ChZ,Yes,
1/9/2019 10:24:21,Yacobellis,Spring 2019,170,,https://drive.google.com/open?id=1_d80QqkDTFd0ySthOSzz0-3uxQ-K0ZRW,Yes,
1/9/2019 10:38:28,Thiruvathukal,Spring 2019,339,,https://drive.google.com/open?id=1UGWcHwUNWAXAK4qkFwWZxDzU-9rlLCq4,No,
1/9/2019 10:52:35,Xiao,Spring 2019,180,,https://drive.google.com/open?id=1XzPWW4GybM43Pjpmhjd3lDJIw_fo8cm1,Yes,
1/9/2019 10:56:07,Yacobellis,Fall 2018,170,002,https://drive.google.com/open?id=1Ch8we8jZBe-5UoX9snX24-pH2Iq-OEt9,Yes,
1/9/2019 10:57:37,Yacobellis,Fall 2018,413,,https://drive.google.com/open?id=1HzpMapfschLITXvpboXclWrXoo-QsqeO,Yes,
1/9/2019 10:56:58,Yacobellis,Fall 2018,313,,https://drive.google.com/open?id=18E2LegP8fS1w52Xxiba93WUa3AQqXgYL,Yes,
1/9/2019 10:57:36,Ruane Montaner,Spring 2019,317,001,https://drive.google.com/open?id=1npD6APAOCqyM1Y7MAvaq2bLHkLNm14Kl,Yes,
1/9/2019 11:13:38,Catherine Putonti,Spring 2019,383,,https://drive.google.com/open?id=107iBydklq3_dqbGqMdcoIjM4yxLNcDZn,Yes,
1/9/2019 11:58:13,Dligach,Fall 2018,379,,https://drive.google.com/open?id=18oWrh4Y1b15B3sOLyHvrYhrDOh1JmbyX,Yes,
1/9/2019 12:35:14,Kabani,Fall 2018,388,488,https://drive.google.com/open?id=1S00ZtZwQCM15tPQFuswTYI-takEFnFEV,Yes,
1/9/2019 12:37:51,Stone,Fall 2018,464,,https://drive.google.com/open?id=1wbd9Z9cSRSYROt5IPKf5HROlwwMbL6NQ,Yes,
1/9/2019 12:44:44,Stone,Spring 2019,474,001,https://drive.google.com/open?id=1rkD2okSjK4bdlhkuTvzFwM110OjCMbgy,Yes,
1/9/2019 12:59:04,Albert,Spring 2019,460,,https://drive.google.com/open?id=1fVCTZwHz-0a_0XkTrpCIhylD_JXGpJji,No,
1/9/2019 12:59:45,Albert,Spring 2019,271,,https://drive.google.com/open?id=1QOv722PImg3fzwvECh2QaBbnOGiBaZ4P,No,
1/9/2019 13:00:28,Albert,Spring 2019,397,,https://drive.google.com/open?id=1TOJhEK8aNa3Rlb8pcE7lO1mLbIQQCMEb,No,
1/9/2019 13:14:59,Ruane Montaner,Spring 2019,417,001,https://drive.google.com/open?id=1nMLALdt1iNsg4vNHUWnVxWUjY4i4RvjP,Yes,
1/9/2019 13:17:21,Schmitz,Spring 2019,348,001,https://drive.google.com/open?id=1J513ZBn7LdbhTEC3-kBc_EBaPL88xa6a,Yes,
1/9/2019 13:17:58,Schmitz,Spring 2019,348,002,https://drive.google.com/open?id=1GzJ7xFVH1LX9FvKLT-8xUVaBzBCxQd6w,Yes,
1/9/2019 13:18:35,Schmitz,Fall 2018,347,001,https://drive.google.com/open?id=1ezRrIvdkn2Mc__PQZs4ZFPDQGPTC-WJU,Yes,
1/9/2019 13:19:07,Schmitz,Fall 2018,347,002,https://drive.google.com/open?id=1YjAf1I4un_cCJ2_1GKZxKmuhMJhp4xVr,Yes,
1/9/2019 14:43:32,Greenberg,Spring 2019,390,,https://drive.google.com/open?id=11O4_QVhM-oPiZYBMqzzuXP-BJ-dfHXSN,Yes,
1/9/2019 14:53:11,Greenberg,Fall 2018,390,,https://drive.google.com/open?id=1t2gEc1Ef_wbCBUcmEWslnf6_nHkTovsJ,Yes,No
1/10/2019 9:31:27,Wheeler,Fall 2018,381,,https://drive.google.com/open?id=1q0SiDxlXX5pLwlouXbQlxddU9s8T3u3k,Yes,Yes
1/10/2019 16:41:02,Chan-Tin,Fall 2018,170,,https://drive.google.com/open?id=12Vmhzx35d_qdOhQU70rqrtAJTi9WZNbi,Yes,No
1/10/2019 16:41:53,Chan-Tin,Spring 2019,170,,https://drive.google.com/open?id=1wumEzX8eoHbKbLIvJo_zBi12mbFFlqqm,Yes,No
1/10/2019 22:37:57,Berhane Zewdie,Spring 2019,373,473,https://drive.google.com/open?id=1PFT4TiI3skyBNNXM07rCZmN4mlMy79Ts,Yes,No
1/11/2019 0:52:53,Nguyen,Spring 2019,150,,https://drive.google.com/open?id=16htBVOBv4xSCW6ot5aAmhwvc25qmgFLZ,Yes,No
1/11/2019 0:53:56,Nguyen,Spring 2019,125,,https://drive.google.com/open?id=17qKp1h8t-OZ-N2xg0hGwvdSYv5rjsKou,Yes,No
1/11/2019 15:34:42,Irakliotis,Spring 2019,163,001,https://drive.google.com/open?id=1Jn7qrDqL4okFi8HNvgsV3OnREqmGwtE8,Yes,No
1/11/2019 23:27:47,Nguyen,Fall 2018,150,,https://drive.google.com/open?id=1s0i_F_uejVyKn74wLUhZUDk_n979q_n3,Yes,Yes
1/11/2019 23:28:54,Nguyen,Fall 2018,125,,https://drive.google.com/open?id=1b4BlOgyttQF3bmhor0_Oq5GqyJgxwSDN,Yes,Yes
1/12/2019 11:07:00,Lopez,Spring 2019,163,003,https://drive.google.com/open?id=11BQFMNdgfmHV3BOyGj5KeCO594HN_vJu,Yes,No
1/12/2019 11:07:46,Lopez,Fall 2018,163,004,https://drive.google.com/open?id=1lhHacIyo-B706deHnTsBkZ8lCvIJSEQ7,Yes,No
1/13/2019 15:18:37,Durston,Spring 2019,369,,https://drive.google.com/open?id=1YstJID4UcnJaMeqkic7336U_sg4_nMdY,Yes,Yes
1/13/2019 15:20:14,Durston,Fall 2018,125,,https://drive.google.com/open?id=1BHcx4djgVKVXAKsYU9TzW-vRgEos00JW,Yes,No
1/13/2019 18:34:13,Schwab,Spring 2019,250,,https://drive.google.com/open?id=1TKG7g70AUdWOA7V2ehf-t7vkIaUFWOlN,Yes,No
1/13/2019 18:35:43,Schwab,Spring 2019,317,,https://drive.google.com/open?id=1ow7XeuvAJeFb6ufe5gNzsM0McL0K34xF,Yes,No
1/13/2019 19:48:18,Chan-Tin,Fall 2018,170,,https://drive.google.com/open?id=1jLt9ZXN0nQrwhj-EJw7SJzbxUyunQ7-9,Yes,No
1/13/2019 19:48:49,Chan-Tin,Spring 2019,170,,https://drive.google.com/open?id=1yDO4W5L7TKkOBWiyfv4pBi4MXgFPuLZL,Yes,No
1/13/2019 19:49:35,Chan-Tin,Spring 2019,388,,https://drive.google.com/open?id=1aggb5HQHA_KZNCO9tdHaiVnxw5Cq2Ipu,Yes,Yes
1/13/2019 21:55:51,Thiruvathukal,Spring 2019,330,,https://drive.google.com/open?id=1UoLIJ0-AWMqEMKsGnr-yDy5NjfDzDKY4,No,No
1/13/2019 22:19:31,Hayward,Fall 2018,424,,https://drive.google.com/open?id=1ukCqijrEaiWty0cNMdIhVW0JB6wXi6xy,Yes,Yes
1/13/2019 22:45:57,Hayward,Fall 2018,422,,https://drive.google.com/open?id=1dzZJAagMmvqCZSxMQmw-Q2ktFFcRqrT7,Yes,No
1/13/2019 22:47:03,Hayward,Fall 2018,424,,https://drive.google.com/open?id=103klZVvrBamgZvcnOnKsv26CIpMcnT0l,Yes,No
1/13/2019 22:47:42,Hayward,Spring 2019,424,,https://drive.google.com/open?id=1e_5x28KVuQklVOjEOEvnmWVn9JWVcQ-V,Yes,No
1/13/2019 22:48:26,Hayward,Fall 2018,436,,https://drive.google.com/open?id=1tuzhyvmLKFkH-erZaNEVr1pDAXI3B9Wv,Yes,No
1/13/2019 22:49:43,Hayward,Spring 2019,441,,https://drive.google.com/open?id=1Mxb-lr3tdSAqXqYlVM7xdzcgvh73Da6Q,Yes,No
1/13/2019 22:50:20,Hayward,Spring 2019,488,,https://drive.google.com/open?id=1pbgvL4C5xKxZQmu4qlxr8pf1eB7snlJl,Yes,No
1/14/2019 19:17:46,Bevente,Spring 2019,488,472,https://drive.google.com/open?id=1SzfkFJjDxYJniNxOOqMSgdfoq03vVq0C,Yes,No
1/14/2019 19:20:59,Bevente,Fall 2018,251,,https://drive.google.com/open?id=1DUFBMRsTu8vI_--4QOuAL8L0WKjHnbKp,Yes,No
1/17/2019 10:24:21,Albert,Spring 2019,397,,https://drive.google.com/open?id=1kxICYhOn2X1UYVIi8uHZKUT41T5H3J8d,Yes,No
1/17/2019 10:25:04,Albert,Spring 2019,460,,https://drive.google.com/open?id=1-FGzaDq9KHVcceTH_IHTdFxnAqlLGc5a,Yes,No
1/17/2019 10:25:40,Albert,Spring 2019,271,,https://drive.google.com/open?id=1seBKIfaZwL-vk6HO7k8bCjmmhpyMSNRw,Yes,No
1/17/2019 18:00:43,Irakliotis,Spring 2019,163,,https://drive.google.com/open?id=1AFENAEgVflOsjlWNlitwRwRPVjVHIK9n,Yes,No
1/17/2019 18:25:52,Greenberg,Spring 2019,264,001,https://drive.google.com/open?id=1dmBJZvbm_NM9wnJmYfyeYkTjRPHeqEaK,Yes,No
1/17/2019 18:30:22,Greenberg,Fall 2018,264,001,https://drive.google.com/open?id=1layDFFhFKKp3xLxqK025TY1pw_omTskT,Yes,No
1/17/2019 19:21:26,Harrington,Spring 2019,363,1,https://drive.google.com/open?id=16pgnwRe-Gg1yanmERxA0TeTsOsWAidd9,Yes,No
1/17/2019 19:53:43,Naiman,Spring 2019,353,,https://drive.google.com/open?id=1uppoPV0DP3ddQ9V8S14VhIMq7Ik6ZjuE,Yes,No
1/17/2019 20:02:54,O'Sullivan,Spring 2019,150,,https://drive.google.com/open?id=1NcXHvfQupvdAi6BNUtSHc4H9QtuglqZI,Yes,No
1/17/2019 20:21:02,Naiman,Spring 2019,300,1,https://drive.google.com/open?id=1_9atpVvgu-ic1jCADgL1fB9rUJtsIIwk,Yes,Yes
1/17/2019 20:21:02,Naiman,Spring 2019,300,2,https://drive.google.com/open?id=1_9atpVvgu-ic1jCADgL1fB9rUJtsIIwk,Yes,Yes
1/17/2019 22:34:44,Bevente,Spring 2019,488,472,https://drive.google.com/open?id=1GJRdue0NiREeVzmoAJ2LKa1uVyAHINaF,Yes,No
1/17/2019 22:41:38,Thiruvathukal,Spring 2019,330,,https://drive.google.com/open?id=12piTQ81zyyxclyrKr1Si0vo-3JTMAxwM,Yes,No
1/17/2019 22:42:17,Thiruvathukal,Spring 2019,339,,https://drive.google.com/open?id=1KNvPUVx8JxkR_1tWAaQvOZIPUhWQJraI,Yes,Yes
1/17/2019 22:42:56,Thiruvathukal,Spring 2019,330,,https://drive.google.com/open?id=1jwC4cBPaTYYd6pAmdIvUWIE2MoFYsHVI,Yes,No
1/18/2019 8:38:03,Stone,Spring 2019,474,,https://drive.google.com/open?id=1vqi1LDrRnpRgF06RYbHUIF_ZIHACCUHq,Yes,No
1/18/2019 9:55:28,Sekharan,Spring 2019,271,,https://drive.google.com/open?id=1gM47N8HJce5aoHWanCx1URWpPuVg0LkR,Yes,No
1/18/2019 9:56:14,Sekharan,Fall 2018,460,,https://drive.google.com/open?id=1nq1nDPGR-TQexq3CYaX5dWmbb29ZWcTq,Yes,No
1/18/2019 11:20:06,Ahmed,Spring 2019,305,,https://drive.google.com/open?id=1gnNBwq67bKOwU7KnSrygFGqwachCR1V3,Yes,No
1/18/2019 11:22:20,Weisert,Spring 2019,370,,https://drive.google.com/open?id=1oMOjLx6vEHZpZzSWe1-6r4XXOcSiqXXT,Yes,No
1/18/2019 12:19:46,Wetzel,Spring 2019,125,,https://drive.google.com/open?id=1JrFUyb3v9O7yc3MveTmP6eUq_ME4mi6D,Yes,No
1/18/2019 13:55:00,dordal,Spring 2019,150,111,https://drive.google.com/open?id=1KtCHefms4eSgp1KetIQ8SSMX0zhoe07e,Yes,No
1/18/2019 13:56:58,dordal,Spring 2019,264,,https://drive.google.com/open?id=1sSsiP85AalIWXNnWlw1RdCnQWs2iqJuU,Yes,No
1/18/2019 13:58:48,dordal,Fall 2018,343,,https://drive.google.com/open?id=1VdkOpkD3-sCHQ1g8hITB4PyfBSQ9KANF,Yes,Yes
1/18/2019 16:42:13,Weisert,Spring 2019,370,,https://drive.google.com/open?id=1RclcnRNKRmg1DeG7Bxh_qkRFC9dbYSqE,Yes,Yes
1/18/2019 20:27:18,HONIG,Spring 2019,170,,https://drive.google.com/open?id=1MoM-xk49zavDZzxVOIaxGF_Q1MAjec7o,Yes,No
1/18/2019 21:31:13,HONIG,Spring 2019,170,003 and 004,https://drive.google.com/open?id=1g0FV_rjtd-37fazleZ3A8PTmvXtj6J6C,Yes,No
1/19/2019 15:13:37,Läufer,Fall 2018,271,002,https://drive.google.com/open?id=1Z0V17TyPI_bNi3JNU7ME7Ws2mTiTWJTU,Yes,No
1/19/2019 15:17:13,Läufer,Fall 2018,371,001,https://drive.google.com/open?id=1ZXuIeXxwP2MaL-ZaSIRPSP95SR7jJh4L,Yes,Yes
1/19/2019 17:40:51,Harrington,Spring 2019,170,005,https://drive.google.com/open?id=1_dkn6pn2qo5qr_CC7QWRuBfelVcw-bgw,Yes,No
8/26/2019 8:31:31,Irakliotis,Fall 2019,163,005,https://drive.google.com/open?id=1MjN2n1ZnfYCrMrUr1LAsup30Dr87C97F,Yes,No
8/26/2019 8:32:20,Irakliotis,Fall 2019,180,001,https://drive.google.com/open?id=1rzggjY03MFY_fZBuL17tG_Np4fPEx0Dt,Yes,No
8/26/2019 8:32:47,Yarris,Fall 2019,340,001,https://drive.google.com/open?id=1BRQhzMjt_jwV6dGz0FW5Tc2dgBpi1b0u,Yes,Yes
8/26/2019 8:33:00,Irakliotis,Fall 2019,271,003,https://drive.google.com/open?id=1mDTwYYcv--2VqkZmGFpnPVBejR-Y7B5H,Yes,No
8/26/2019 9:30:00,Yacobellis,Summer 2019,313,001,https://drive.google.com/open?id=1q3_e-VXGmi4oAS0ROqqWi0x6ReDOnXlN,Yes,No
8/26/2019 9:30:50,Yacobellis,Fall 2019,170,002,https://drive.google.com/open?id=1KJD-eDa6FpeN2MJbxO0pvvTbNr-3kc_B,Yes,No
8/26/2019 9:31:31,Yacobellis,Fall 2019,170,005,https://drive.google.com/open?id=1yMWY5xW0kMFCIWdGZoxKKulyQdHuEwVt,Yes,No
8/26/2019 9:32:40,Yacobellis,Fall 2019,313,001,https://drive.google.com/open?id=1ZjmGXnNshCuuSFJaqCO_uVnx86UaM-vg,Yes,Yes
8/26/2019 9:45:43,Wheeler,Fall 2019,381,001,https://drive.google.com/open?id=10Gn1gQOq21D5j27Lid1WnVFu0GGu-Dk6,Yes,Yes
8/26/2019 10:17:46,Klingensmith,Fall 2019,163,003,https://drive.google.com/open?id=1zB6CFQ7C-aGUCi2Al6ZpWwaQ9RoDEeGl,No,No
8/26/2019 10:18:21,Klingensmith,Fall 2019,163,004,https://drive.google.com/open?id=1nS2ZHQAw-UJtv_FArHZU7uMyvPAxYVi0,No,No
8/26/2019 10:21:48,Hayward,Fall 2019,322,001,https://drive.google.com/open?id=16y5IyKggJCbu19OeRuTcUWxwLv0MGZMo,Yes,Yes
8/26/2019 10:23:28,Hayward,Fall 2019,324,001,https://drive.google.com/open?id=1JHma_mYGdlfTsqnXDGiz_0EHwm66hc63,Yes,Yes
8/26/2019 10:25:58,Hayward,Fall 2019,336,001,https://drive.google.com/open?id=1-oIsR_iEonynQ1jKti6s52f8ijvGIboD,Yes,Yes
8/26/2019 10:55:21,Yacobellis,Summer 2019,313,001,https://drive.google.com/open?id=1yQMvYJ3iGa5vpddXJMIfK3cMxpMljEhY,Yes,Yes
8/26/2019 12:14:03,Dligach,Fall 2019,379,001,https://drive.google.com/open?id=1DatyxdU-w5mRoK0ibG_kDyRgeEbNiAXg,Yes,Yes
8/26/2019 13:45:36,Montaner,Fall 2019,317,02W,https://drive.google.com/open?id=12Wpc6Pcu0Onrgu7wIu37_es7Wm2KfNhN,No,Yes
8/26/2019 22:00:53,Chan-Tin,Fall 2019,170,001,https://drive.google.com/open?id=1beqNfKqA70mJmTLVgekrTYETc_y07JQm,Yes,No
8/26/2019 22:01:31,Chan-Tin,Fall 2019,352,001,https://drive.google.com/open?id=12YnnFJar-dpYbp3oP6XpdC_adiwhiiLU,Yes,Yes
8/26/2019 23:56:13,Nguyen,Fall 2019,125,002,https://drive.google.com/open?id=17he0dqT_AejZRURR6nS7DR7zWNowXYZs,Yes,Yes
8/27/2019 0:35:32,Greenberg,Fall 2019,264,001,https://drive.google.com/open?id=1Qk8Gg6EGfFTnRQYe9uIt7BSx0jUFL5Wb,Yes,No
8/27/2019 0:36:23,Greenberg,Fall 2019,390,01E,https://drive.google.com/open?id=1WMJMNpz9Ma5yKpp_ZMglPgilCtOv-RuE,Yes,No
8/27/2019 0:38:55,Greenberg,Fall 2019,388,001,https://drive.google.com/open?id=1OBNAPO2YfWMeIw9pe4m5XSHQ3GpmMhIN,Yes,No
8/27/2019 7:45:19,Stone,Fall 2019,364,001,https://drive.google.com/open?id=17rHm6PtP2sZItmQnRr_RYghnu8tQK2hI,Yes,Yes
8/28/2019 19:49:14,Durston,Fall 2019,125,1,https://drive.google.com/open?id=12cfDnWaf7-y1vtEy6WW1sXfJWimRGzZ4,Yes,Yes
8/29/2019 7:58:58,Schmitz,Summer 2019,349,001,https://drive.google.com/open?id=1C6D6aWh5DQlYeNjPdS__Xx1Pk98Xu7Rb,Yes,Yes
8/29/2019 7:59:41,Schmitz,Fall 2019,347,001,https://drive.google.com/open?id=1_eoTEwuE9W24bdfNv5ZaxCI8-ZLjbdtN,Yes,Yes
8/29/2019 8:00:20,Schmitz,Fall 2019,347,002,https://drive.google.com/open?id=1BB-C_Z5TaRYaZ3ugBoMmTOxow9Ku279i,Yes,Yes
8/29/2019 14:50:13,Wetzel,Fall 2019,125,003,https://drive.google.com/open?id=1LMqIEzDpOrbNPpS9fPm1GPSCQChGsImx,Yes,No
8/29/2019 14:54:15,Wetzel,Summer 2019,125,001,https://drive.google.com/open?id=1xPbU-ZRZqnfT7DYaBe42j5vtUqe-Viza,Yes,No
8/30/2019 18:41:44,Harrington,Fall 2019,150,002,https://drive.google.com/open?id=1LsTcliNrcnZksIS4HFqe21kGOGbCzEJ9,Yes,No
8/30/2019 18:42:33,Harrington,Fall 2019,150,003,https://drive.google.com/open?id=1k-N4ys6Rz6sHjTLhJNC-uxJi18igdgcC,Yes,No
8/30/2019 18:43:14,Harrington,Fall 2019,150,004,https://drive.google.com/open?id=1od-lD6xqi7hEUHx6QVtjKJ1xxY-fmOXu,Yes,No
8/30/2019 18:46:55,Harrington,Summer 2019,150,001,https://drive.google.com/open?id=1eEtbP2wO876PNIz1TXcMCLrDtsbDmec0,Yes,No
8/31/2019 23:45:06,Putonti,Fall 2019,363,001,https://drive.google.com/open?id=1OXO-mr4nPPWD_u9FGpYF-xOjKADF_TLr,Yes,No
9/2/2019 17:31:17,O'Sullivan,Fall 2019,150,001,https://drive.google.com/open?id=1mejNyPvXVivJIxozVZQP6-4dD68z9L7i,Yes,No
9/4/2019 19:23:16,Laufer,Fall 2019,313,002,https://drive.google.com/open?id=1tEljy5-UPf8cunIDXvsX5V7uU1iWn7GK,Yes,No
9/4/2019 19:24:48,Laufer,Fall 2019,371,001,https://drive.google.com/open?id=19O4FmUAjaFdGbWuDiRBQKjgVyU6CTTjz,Yes,Yes
9/8/2019 14:39:04,Sekharan,Fall 2019,271,001,https://drive.google.com/open?id=1Hi_s7Yf7to8UvrgTpu10P56KeMWgLrtG,Yes,No
9/8/2019 17:54:15,Zewdie,Fall 2019,388,001,https://drive.google.com/open?id=1CYM6Ww3rtJF0oWwkF2wY-B72k8a4K-7N,Yes,Yes
9/10/2019 14:21:47,Honig,Fall 2019,170,004,https://drive.google.com/open?id=11NK74Zekc61GtXYdNDeEB3h7Kz55lxiz,Yes,No
9/10/2019 14:27:31,Honig,Fall 2019,319,001,https://drive.google.com/open?id=1gQ9npkULvIIzY93BK7uprj-sUOHkMsz8,Yes,No
9/10/2019 14:28:31,Honig,Fall 2019,330,001,https://drive.google.com/open?id=1LKZUbhSCYkVu7UyFsW2La_zmuyVIVnT6,Yes,No
9/22/2019 14:47:07,Bevente,Fall 2019,251,001,https://drive.google.com/open?id=1SxXAhdfV8qCT7ni67zfwV7pdkuing5lE,Yes,No
